,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.010543900000001827,7.0,200.0,200,0.2,1000
1,1,0.034984500000000196,14.0,402.0,200,0.2,1000
2,2,0.05675820000000442,14.0,603.0,200,0.2,1000
3,3,0.07749790000000445,16.0,805.0,200,0.2,1000
4,4,0.09732420000000275,16.0,1006.0,200,0.2,1000
5,5,0.11940970000000561,16.0,1207.0,200,0.2,1000
6,6,0.13914160000000209,114.0,1409.0,200,0.2,1000
7,7,0.15821930000000606,114.0,1610.0,200,0.2,1000
8,8,0.17906360000000632,114.0,1811.0,200,0.2,1000
9,9,0.20401050000000254,114.0,2012.0,200,0.2,1000
10,10,0.22333740000000546,115.0,2214.0,200,0.2,1000
11,11,0.24241260000000153,115.0,2415.0,200,0.2,1000
12,12,0.2657817000000051,115.0,2616.0,200,0.2,1000
13,13,0.28518510000000674,115.0,2817.0,200,0.2,1000
14,14,0.30457120000000515,115.0,3018.0,200,0.2,1000
15,15,0.3248245000000054,115.0,3219.0,200,0.2,1000
16,16,0.34493620000000647,116.0,3421.0,200,0.2,1000
17,17,0.3637916000000061,117.0,3623.0,200,0.2,1000
18,18,0.38258990000000637,117.0,3824.0,200,0.2,1000
19,19,0.40284030000000115,117.0,4025.0,200,0.2,1000
20,20,0.42302500000000265,117.0,4226.0,200,0.2,1000
21,21,0.44666820000000484,117.0,4427.0,200,0.2,1000
22,22,0.4655781000000019,117.0,4628.0,200,0.2,1000
23,23,0.48456010000000305,117.0,4829.0,200,0.2,1000
24,24,0.5097761000000034,117.0,5030.0,200,0.2,1000
25,25,0.5341789000000006,117.0,5231.0,200,0.2,1000
26,26,0.5550119000000038,117.0,5432.0,200,0.2,1000
27,27,0.5790637000000061,117.0,5633.0,200,0.2,1000
28,28,0.5985984000000002,117.0,5834.0,200,0.2,1000
29,29,0.6197278000000068,117.0,6035.0,200,0.2,1000
30,30,0.6401474000000036,117.0,6236.0,200,0.2,1000
31,31,0.6646242999999998,117.0,6437.0,200,0.2,1000
32,32,0.6836883,119.0,6639.0,200,0.2,1000
33,33,0.7026214000000053,119.0,6840.0,200,0.2,1000
34,34,0.7217163000000042,119.0,7041.0,200,0.2,1000
35,35,0.7412220000000005,119.0,7242.0,200,0.2,1000
36,36,0.7647692000000035,119.0,7443.0,200,0.2,1000
37,37,0.7853005000000053,121.0,7645.0,200,0.2,1000
38,38,0.8044387000000057,121.0,7846.0,200,0.2,1000
39,39,0.825597700000003,121.0,8047.0,200,0.2,1000
40,40,0.8464197000000055,121.0,8248.0,200,0.2,1000
41,41,0.8703631999999999,121.0,8449.0,200,0.2,1000
42,42,0.8892291000000014,121.0,8650.0,200,0.2,1000
43,43,0.9086872000000028,122.0,8852.0,200,0.2,1000
44,44,0.9276475000000062,122.0,9053.0,200,0.2,1000
45,45,0.9495160000000027,123.0,9255.0,200,0.2,1000
46,46,0.9694412000000057,123.0,9456.0,200,0.2,1000
