,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.011968799999976909,7.0,200.0,True,200,0.25,1000
1,1,0.1063985999999204,15.0,402.0,True,200,0.25,1000
2,2,0.1768344999998135,16.0,604.0,True,200,0.25,1000
3,3,0.24533519999999953,16.0,805.0,True,200,0.25,1000
4,4,0.32268699999985984,16.0,1006.0,True,200,0.25,1000
5,5,0.38359089999994467,116.0,1208.0,True,200,0.25,1000
6,6,0.4431495999999697,116.0,1409.0,True,200,0.25,1000
7,7,0.513826999999992,119.0,1611.0,True,200,0.25,1000
8,8,0.6001879999998891,119.0,1812.0,True,200,0.25,1000
9,9,0.6966304000000036,122.0,2014.0,True,200,0.25,1000
10,10,0.7850879999998597,124.0,2216.0,True,200,0.25,1000
11,11,0.8874894999999015,125.0,2418.0,True,200,0.25,1000
12,12,0.9599381999998968,127.0,2620.0,True,200,0.25,1000
13,13,1.0857535999998618,127.0,2821.0,True,200,0.25,1000
14,14,1.2107820999999603,128.0,3023.0,True,200,0.25,1000
15,15,1.344301200000018,131.0,3225.0,True,200,0.25,1000
16,16,1.4529512999999952,132.0,3427.0,True,200,0.25,1000
17,17,1.5796883999998954,133.0,3629.0,True,200,0.25,1000
18,18,1.7176234999999451,135.0,3831.0,True,200,0.25,1000
19,19,1.861975399999892,136.0,4033.0,True,200,0.25,1000
20,20,2.025949999999966,137.0,4235.0,True,200,0.25,1000
21,21,2.105640600000015,137.0,4436.0,True,200,0.25,1000
22,22,2.228960299999926,137.0,4637.0,True,200,0.25,1000
23,23,2.3462701999999354,137.0,4838.0,True,200,0.25,1000
24,24,2.454714899999999,137.0,5039.0,True,200,0.25,1000
25,25,2.5628967000000102,137.0,5240.0,True,200,0.25,1000
26,26,2.619707099999914,137.0,5441.0,True,200,0.25,1000
27,27,2.697122199999967,137.0,5642.0,True,200,0.25,1000
28,28,2.801605799999834,137.0,5843.0,True,200,0.25,1000
29,29,2.9322179999999207,137.0,6044.0,True,200,0.25,1000
30,30,3.065228799999886,137.0,6245.0,True,200,0.25,1000
31,31,3.222663999999895,137.0,6446.0,True,200,0.25,1000
32,32,3.362128900000016,137.0,6647.0,True,200,0.25,1000
33,33,3.4888578000000052,137.0,6848.0,True,200,0.25,1000
34,34,3.603272699999934,137.0,7049.0,True,200,0.25,1000
35,35,3.7151178999999956,137.0,7250.0,True,200,0.25,1000
36,36,3.821346799999901,137.0,7451.0,True,200,0.25,1000
37,37,3.9293851999998424,137.0,7652.0,True,200,0.25,1000
38,38,4.033182199999828,137.0,7853.0,True,200,0.25,1000
39,39,4.08447289999981,137.0,8054.0,True,200,0.25,1000
40,40,4.194422599999825,137.0,8255.0,True,200,0.25,1000
41,41,4.302996099999973,137.0,8456.0,True,200,0.25,1000
42,42,4.403052299999899,137.0,8657.0,True,200,0.25,1000
43,43,4.503305699999828,137.0,8858.0,True,200,0.25,1000
44,44,4.601705599999832,137.0,9059.0,True,200,0.25,1000
45,45,4.704174899999998,137.0,9260.0,True,200,0.25,1000
46,46,4.804926699999896,137.0,9461.0,True,200,0.25,1000
47,47,4.90568959999996,137.0,9662.0,True,200,0.25,1000
48,48,5.001349699999992,137.0,9863.0,True,200,0.25,1000
49,49,5.103465299999925,137.0,10064.0,True,200,0.25,1000
50,50,5.2126974999998765,137.0,10265.0,True,200,0.25,1000
51,51,5.324587099999917,137.0,10466.0,True,200,0.25,1000
52,52,5.426956299999802,137.0,10667.0,True,200,0.25,1000
53,53,5.562410499999942,137.0,10868.0,True,200,0.25,1000
54,54,5.73927649999996,137.0,11069.0,True,200,0.25,1000
55,55,5.859418799999958,137.0,11270.0,True,200,0.25,1000
56,56,5.962460799999917,137.0,11471.0,True,200,0.25,1000
57,57,6.065997899999957,137.0,11672.0,True,200,0.25,1000
58,58,6.170773199999985,137.0,11873.0,True,200,0.25,1000
59,59,6.277657799999815,137.0,12074.0,True,200,0.25,1000
60,60,6.383280699999887,137.0,12275.0,True,200,0.25,1000
61,61,6.4964557999999215,137.0,12476.0,True,200,0.25,1000
62,62,6.60762479999994,137.0,12677.0,True,200,0.25,1000
63,63,6.71015999999986,137.0,12878.0,True,200,0.25,1000
64,64,6.848717599999873,137.0,13079.0,True,200,0.25,1000
65,65,6.956682600000022,137.0,13280.0,True,200,0.25,1000
66,66,7.140768399999843,137.0,13481.0,True,200,0.25,1000
67,67,7.277326700000003,137.0,13682.0,True,200,0.25,1000
68,68,7.4193573000000015,137.0,13883.0,True,200,0.25,1000
69,69,7.539562999999816,137.0,14084.0,True,200,0.25,1000
70,70,7.641263600000002,137.0,14285.0,True,200,0.25,1000
71,71,7.742957199999864,137.0,14486.0,True,200,0.25,1000
72,72,7.851502900000014,137.0,14687.0,True,200,0.25,1000
73,73,7.959274299999834,137.0,14888.0,True,200,0.25,1000
74,74,8.06993969999985,137.0,15089.0,True,200,0.25,1000
75,75,8.204728799999884,137.0,15290.0,True,200,0.25,1000
76,76,8.331140099999857,137.0,15491.0,True,200,0.25,1000
77,77,8.553126499999962,137.0,15692.0,True,200,0.25,1000
78,78,8.668222999999898,137.0,15893.0,True,200,0.25,1000
79,79,8.78245529999981,137.0,16094.0,True,200,0.25,1000
80,80,8.881104999999934,137.0,16295.0,True,200,0.25,1000
81,81,8.978540500000008,137.0,16496.0,True,200,0.25,1000
82,82,9.108496899999864,137.0,16697.0,True,200,0.25,1000
83,83,9.240233399999852,137.0,16898.0,True,200,0.25,1000
84,84,9.374332999999979,137.0,17099.0,True,200,0.25,1000
85,85,9.487631799999917,137.0,17300.0,True,200,0.25,1000
86,86,9.590872099999842,137.0,17501.0,True,200,0.25,1000
