,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00017209999999989734,7.0,0.0,250,1000
1,1,0.005723000000000145,7.0,2.0,250,1000
2,2,0.005828999999999862,7.0,4.0,250,1000
3,3,0.005930499999999839,7.0,6.0,250,1000
4,4,0.00603050000000005,7.0,8.0,250,1000
5,5,0.006130300000000144,7.0,10.0,250,1000
6,6,0.006271499999999985,7.0,12.0,250,1000
7,7,0.00650890000000004,7.0,14.0,250,1000
8,8,0.006640899999999839,7.0,16.0,250,1000
9,9,0.006748899999999836,7.0,18.0,250,1000
10,10,0.006899499999999836,7.0,20.0,250,1000
11,11,0.00700870000000009,7.0,22.0,250,1000
12,12,0.007155899999999882,7.0,24.0,250,1000
13,13,0.00747959999999992,7.0,26.0,250,1000
14,14,0.007697400000000076,7.0,28.0,250,1000
15,15,0.007832099999999897,7.0,30.0,250,1000
16,16,0.007941000000000198,8.0,32.0,250,1000
17,17,0.008101799999999937,8.0,34.0,250,1000
18,18,0.008296699999999824,8.0,36.0,250,1000
19,19,0.008579500000000184,8.0,38.0,250,1000
20,20,0.008916199999999819,8.0,40.0,250,1000
21,21,0.009358999999999895,8.0,42.0,250,1000
22,22,0.00954979999999983,7.0,44.0,250,1000
23,23,0.00966049999999985,7.0,46.0,250,1000
24,24,0.009770599999999963,7.0,48.0,250,1000
25,25,0.009879999999999889,7.0,50.0,250,1000
26,26,0.009989899999999885,7.0,52.0,250,1000
27,27,0.010099700000000045,7.0,54.0,250,1000
28,28,0.01020999999999983,7.0,56.0,250,1000
29,29,0.01032069999999985,7.0,58.0,250,1000
30,30,0.01042910000000008,8.0,60.0,250,1000
31,31,0.010540400000000005,8.0,62.0,250,1000
32,32,0.010652499999999954,8.0,64.0,250,1000
33,33,0.010765399999999925,8.0,66.0,250,1000
34,34,0.01087870000000013,8.0,68.0,250,1000
35,35,0.010992400000000124,8.0,70.0,250,1000
36,36,0.011106799999999861,8.0,72.0,250,1000
37,37,0.011221299999999879,8.0,74.0,250,1000
38,38,0.011336399999999802,7.0,76.0,250,1000
39,39,0.011451800000000123,7.0,78.0,250,1000
40,40,0.011567499999999953,7.0,80.0,250,1000
41,41,0.011683999999999806,7.0,82.0,250,1000
42,42,0.011800399999999822,7.0,84.0,250,1000
43,43,0.011917400000000189,7.0,86.0,250,1000
44,44,0.012034900000000182,7.0,88.0,250,1000
45,45,0.012152799999999964,7.0,90.0,250,1000
46,46,0.012271300000000096,7.0,92.0,250,1000
47,47,0.012388300000000019,8.0,94.0,250,1000
48,48,0.012507900000000127,8.0,96.0,250,1000
49,49,0.012627699999999908,8.0,98.0,250,1000
50,50,0.012748399999999993,8.0,100.0,250,1000
51,51,0.01286979999999982,8.0,102.0,250,1000
52,52,0.012991899999999834,8.0,104.0,250,1000
53,53,0.013114299999999801,8.0,106.0,250,1000
54,54,0.013236899999999885,8.0,108.0,250,1000
55,55,0.013360299999999992,8.0,110.0,250,1000
56,56,0.013497899999999952,8.0,112.0,250,1000
57,57,0.013626599999999822,13.0,114.0,250,1000
58,58,0.013758999999999855,13.0,116.0,250,1000
59,59,0.013893899999999793,13.0,118.0,250,1000
60,60,0.014027700000000198,13.0,120.0,250,1000
61,61,0.014162699999999973,13.0,122.0,250,1000
