,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.04639710000003561,53.0,200.0,200,0.2,1000
1,1,0.11023790000001554,64.0,402.0,200,0.2,1000
2,2,0.16714600000000246,65.0,604.0,200,0.2,1000
3,3,0.22068000000001575,65.0,805.0,200,0.2,1000
4,4,0.2801104000000123,68.0,1007.0,200,0.2,1000
5,5,0.3420330000000149,68.0,1208.0,200,0.2,1000
6,6,0.39973380000003544,68.0,1409.0,200,0.2,1000
7,7,0.45674059999998917,68.0,1610.0,200,0.2,1000
8,8,0.5132525999999871,68.0,1811.0,200,0.2,1000
9,9,0.5681721999999922,68.0,2012.0,200,0.2,1000
10,10,0.6269354000000362,69.0,2214.0,200,0.2,1000
11,11,0.6798370000000205,69.0,2415.0,200,0.2,1000
12,12,0.7340950999999905,69.0,2616.0,200,0.2,1000
13,13,0.7868000000000279,69.0,2817.0,200,0.2,1000
14,14,0.8402831999999876,71.0,3019.0,200,0.2,1000
15,15,0.8933016000000293,74.0,3221.0,200,0.2,1000
16,16,0.9456250000000068,74.0,3422.0,200,0.2,1000
17,17,1.0068090999999981,74.0,3623.0,200,0.2,1000
18,18,1.0650765999999976,74.0,3824.0,200,0.2,1000
19,19,1.1288845000000265,74.0,4025.0,200,0.2,1000
20,20,1.1929858000000308,74.0,4226.0,200,0.2,1000
21,21,1.2517306000000303,74.0,4427.0,200,0.2,1000
22,22,1.3115492000000017,74.0,4628.0,200,0.2,1000
23,23,1.3638149000000226,74.0,4829.0,200,0.2,1000
24,24,1.419586900000013,74.0,5030.0,200,0.2,1000
25,25,1.4726092999999878,74.0,5231.0,200,0.2,1000
26,26,1.5275230999999962,75.0,5433.0,200,0.2,1000
27,27,1.5812521999999944,75.0,5634.0,200,0.2,1000
28,28,1.6362938999999983,75.0,5835.0,200,0.2,1000
29,29,1.6987569000000349,80.0,6037.0,200,0.2,1000
30,30,1.765728700000011,80.0,6238.0,200,0.2,1000
31,31,1.8258184000000028,80.0,6439.0,200,0.2,1000
32,32,1.883270600000003,80.0,6640.0,200,0.2,1000
33,33,1.9390063000000168,81.0,6842.0,200,0.2,1000
34,34,1.9939481000000114,81.0,7043.0,200,0.2,1000
35,35,2.0482207000000017,81.0,7244.0,200,0.2,1000
