,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0498245000001134,53.0,200.0,True,200,0.25,1000
1,1,0.14296490000015183,64.0,402.0,True,200,0.25,1000
2,2,0.2345433000000412,64.0,603.0,True,200,0.25,1000
3,3,0.3184314000000086,69.0,805.0,True,200,0.25,1000
4,4,0.4004503000001023,71.0,1007.0,True,200,0.25,1000
5,5,0.482938600000125,78.0,1209.0,True,200,0.25,1000
6,6,0.5668104999999741,78.0,1410.0,True,200,0.25,1000
7,7,0.6568234999999731,79.0,1612.0,True,200,0.25,1000
8,8,0.7431484999999611,82.0,1814.0,True,200,0.25,1000
9,9,0.8287477000001218,83.0,2016.0,True,200,0.25,1000
10,10,0.9119746999999734,85.0,2218.0,True,200,0.25,1000
11,11,1.0046657000000323,89.0,2420.0,True,200,0.25,1000
12,12,1.1013267000000724,91.0,2622.0,True,200,0.25,1000
13,13,1.1872719000000416,91.0,2823.0,True,200,0.25,1000
14,14,1.28158180000014,91.0,3024.0,True,200,0.25,1000
15,15,1.3826039000000492,91.0,3225.0,True,200,0.25,1000
16,16,1.5102240999999594,91.0,3426.0,True,200,0.25,1000
17,17,1.6353005000000849,91.0,3627.0,True,200,0.25,1000
18,18,1.7598335000000134,91.0,3828.0,True,200,0.25,1000
19,19,1.882718000000068,91.0,4029.0,True,200,0.25,1000
20,20,2.009476000000177,91.0,4230.0,True,200,0.25,1000
21,21,2.1352260000001024,91.0,4431.0,True,200,0.25,1000
22,22,2.256556400000136,91.0,4632.0,True,200,0.25,1000
23,23,2.3863830000000235,91.0,4833.0,True,200,0.25,1000
24,24,2.5108090999999604,91.0,5034.0,True,200,0.25,1000
25,25,2.6378128999999717,91.0,5235.0,True,200,0.25,1000
26,26,2.763300999999956,91.0,5436.0,True,200,0.25,1000
27,27,2.886695900000177,91.0,5637.0,True,200,0.25,1000
28,28,3.007597700000133,91.0,5838.0,True,200,0.25,1000
29,29,3.134457800000064,91.0,6039.0,True,200,0.25,1000
30,30,3.264337700000169,91.0,6240.0,True,200,0.25,1000
31,31,3.391711100000066,91.0,6441.0,True,200,0.25,1000
32,32,3.5134083000000373,91.0,6642.0,True,200,0.25,1000
33,33,3.6436776000000464,91.0,6843.0,True,200,0.25,1000
34,34,3.7687221999999565,91.0,7044.0,True,200,0.25,1000
35,35,3.8912136999999802,91.0,7245.0,True,200,0.25,1000
36,36,4.015207500000088,91.0,7446.0,True,200,0.25,1000
37,37,4.141893600000003,91.0,7647.0,True,200,0.25,1000
38,38,4.266850800000157,91.0,7848.0,True,200,0.25,1000
39,39,4.398171600000069,91.0,8049.0,True,200,0.25,1000
40,40,4.519714799999974,91.0,8250.0,True,200,0.25,1000
41,41,4.648788100000047,91.0,8451.0,True,200,0.25,1000
42,42,4.7735675999999785,91.0,8652.0,True,200,0.25,1000
43,43,4.893428900000117,91.0,8853.0,True,200,0.25,1000
44,44,5.020424000000048,91.0,9054.0,True,200,0.25,1000
45,45,5.144351300000153,91.0,9255.0,True,200,0.25,1000
46,46,5.268632900000057,91.0,9456.0,True,200,0.25,1000
47,47,5.392975299999989,91.0,9657.0,True,200,0.25,1000
48,48,5.520479199999954,91.0,9858.0,True,200,0.25,1000
49,49,5.647271199999977,91.0,10059.0,True,200,0.25,1000
50,50,5.772142600000052,91.0,10260.0,True,200,0.25,1000
51,51,5.897178899999972,91.0,10461.0,True,200,0.25,1000
52,52,6.0237736999999925,91.0,10662.0,True,200,0.25,1000
53,53,6.149837899999966,91.0,10863.0,True,200,0.25,1000
54,54,6.295922700000119,91.0,11064.0,True,200,0.25,1000
55,55,6.428552999999965,91.0,11265.0,True,200,0.25,1000
56,56,6.552898400000004,91.0,11466.0,True,200,0.25,1000
57,57,6.680584100000033,91.0,11667.0,True,200,0.25,1000
58,58,6.807712300000048,91.0,11868.0,True,200,0.25,1000
59,59,6.947211500000094,91.0,12069.0,True,200,0.25,1000
60,60,7.074037600000111,91.0,12270.0,True,200,0.25,1000
61,61,7.1967535000001135,91.0,12471.0,True,200,0.25,1000
62,62,7.3220360000000255,91.0,12672.0,True,200,0.25,1000
63,63,7.451037400000132,91.0,12873.0,True,200,0.25,1000
64,64,7.576245299999982,91.0,13074.0,True,200,0.25,1000
65,65,7.701669700000139,91.0,13275.0,True,200,0.25,1000
66,66,7.827721399999973,91.0,13476.0,True,200,0.25,1000
67,67,7.95364010000003,91.0,13677.0,True,200,0.25,1000
68,68,8.08214750000002,91.0,13878.0,True,200,0.25,1000
69,69,8.214717600000085,91.0,14079.0,True,200,0.25,1000
70,70,8.346300800000108,91.0,14280.0,True,200,0.25,1000
71,71,8.477093400000058,91.0,14481.0,True,200,0.25,1000
72,72,8.602595700000165,91.0,14682.0,True,200,0.25,1000
73,73,8.72838650000017,91.0,14883.0,True,200,0.25,1000
74,74,8.850755300000174,91.0,15084.0,True,200,0.25,1000
75,75,8.979144000000133,91.0,15285.0,True,200,0.25,1000
76,76,9.105648900000006,91.0,15486.0,True,200,0.25,1000
77,77,9.230570700000044,91.0,15687.0,True,200,0.25,1000
78,78,9.362238400000024,91.0,15888.0,True,200,0.25,1000
79,79,9.493118999999979,91.0,16089.0,True,200,0.25,1000
80,80,9.618480500000032,91.0,16290.0,True,200,0.25,1000
81,81,9.7450288,91.0,16491.0,True,200,0.25,1000
82,82,9.866192800000135,91.0,16692.0,True,200,0.25,1000
83,83,9.992039400000067,91.0,16893.0,True,200,0.25,1000
84,84,10.120608599999969,91.0,17094.0,True,200,0.25,1000
85,85,10.240957600000002,91.0,17295.0,True,200,0.25,1000
86,86,10.372854400000051,91.0,17496.0,True,200,0.25,1000
87,87,10.495470000000068,91.0,17697.0,True,200,0.25,1000
88,88,10.64066969999999,91.0,17898.0,True,200,0.25,1000
89,89,10.765901100000065,91.0,18099.0,True,200,0.25,1000
90,90,10.890436500000078,91.0,18300.0,True,200,0.25,1000
91,91,11.016826400000127,91.0,18501.0,True,200,0.25,1000
92,92,11.165183200000001,91.0,18702.0,True,200,0.25,1000
