,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0005402000000001017,53.0,0.0,0,1000,0
1,1,0.011695200000000128,55.0,2.0,0,1000,0
2,2,0.012037400000000087,55.0,3.0,0,1000,0
3,3,0.012777499999999886,57.0,5.0,0,1000,0
4,4,0.013038299999999836,57.0,6.0,0,1000,0
5,5,0.013272800000000196,57.0,7.0,0,1000,0
6,6,0.013509400000000227,57.0,8.0,0,1000,0
7,7,0.013745800000000141,57.0,9.0,0,1000,0
8,8,0.013977200000000245,57.0,10.0,0,1000,0
9,9,0.014211799999999997,57.0,11.0,0,1000,0
10,10,0.014451199999999886,57.0,12.0,0,1000,0
11,11,0.014899100000000054,59.0,14.0,0,1000,0
12,12,0.015132100000000204,59.0,15.0,0,1000,0
13,13,0.015368599999999955,59.0,16.0,0,1000,0
14,14,0.015606599999999915,59.0,17.0,0,1000,0
15,15,0.015841500000000064,59.0,18.0,0,1000,0
16,16,0.016287800000000185,61.0,20.0,0,1000,0
17,17,0.01652869999999984,61.0,21.0,0,1000,0
18,18,0.01676449999999985,61.0,22.0,0,1000,0
19,19,0.017001899999999903,61.0,23.0,0,1000,0
20,20,0.01723909999999984,61.0,24.0,0,1000,0
21,21,0.017503399999999836,61.0,25.0,0,1000,0
22,22,0.017780300000000082,61.0,26.0,0,1000,0
23,23,0.01801900000000023,61.0,27.0,0,1000,0
24,24,0.018257199999999862,61.0,28.0,0,1000,0
25,25,0.018501600000000007,61.0,29.0,0,1000,0
26,26,0.018823600000000162,61.0,30.0,0,1000,0
27,27,0.019449700000000014,61.0,31.0,0,1000,0
28,28,0.020147099999999973,61.0,32.0,0,1000,0
29,29,0.020683599999999913,61.0,33.0,0,1000,0
30,30,0.02108679999999996,61.0,34.0,0,1000,0
31,31,0.021993099999999988,63.0,36.0,0,1000,0
32,32,0.022516800000000003,63.0,37.0,0,1000,0
33,33,0.022865499999999983,63.0,38.0,0,1000,0
34,34,0.023257800000000106,63.0,39.0,0,1000,0
35,35,0.023554400000000086,63.0,40.0,0,1000,0
36,36,0.024224799999999824,65.0,42.0,0,1000,0
37,37,0.024623599999999968,65.0,43.0,0,1000,0
38,38,0.02491090000000007,65.0,44.0,0,1000,0
39,39,0.02537300000000009,66.0,46.0,0,1000,0
