,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.003081600000001572,3.0,200.0,200,0.2,1000
1,1,0.019587300000011965,12.0,402.0,200,0.2,1000
2,2,0.03211179999999558,12.0,603.0,200,0.2,1000
3,3,0.04407589999999573,13.0,805.0,200,0.2,1000
4,4,0.055042799999995395,13.0,1006.0,200,0.2,1000
5,5,0.06603409999999599,14.0,1208.0,200,0.2,1000
6,6,0.07889159999999151,17.0,1410.0,200,0.2,1000
7,7,0.0905920000000151,22.0,1612.0,200,0.2,1000
8,8,0.10184990000001903,113.0,1814.0,200,0.2,1000
9,9,0.11292760000000612,116.0,2016.0,200,0.2,1000
10,10,0.1278579000000093,116.0,2217.0,200,0.2,1000
11,11,0.1403707000000054,118.0,2419.0,200,0.2,1000
12,12,0.15428719999999885,118.0,2620.0,200,0.2,1000
13,13,0.17049969999999348,118.0,2821.0,200,0.2,1000
14,14,0.1863623000000132,119.0,3023.0,200,0.2,1000
15,15,0.1992044000000135,119.0,3224.0,200,0.2,1000
16,16,0.21135710000001495,122.0,3426.0,200,0.2,1000
17,17,0.22294130000000223,122.0,3627.0,200,0.2,1000
18,18,0.23510770000001457,122.0,3828.0,200,0.2,1000
19,19,0.24886309999999412,122.0,4029.0,200,0.2,1000
20,20,0.2631059999999934,122.0,4230.0,200,0.2,1000
21,21,0.27745190000001685,124.0,4432.0,200,0.2,1000
22,22,0.29184399999999755,125.0,4634.0,200,0.2,1000
23,23,0.3060854999999947,125.0,4835.0,200,0.2,1000
24,24,0.32052889999999934,126.0,5037.0,200,0.2,1000
25,25,0.3354812999999979,126.0,5238.0,200,0.2,1000
26,26,0.35010769999999525,127.0,5440.0,200,0.2,1000
27,27,0.36250680000000557,127.0,5641.0,200,0.2,1000
28,28,0.37456869999999753,127.0,5842.0,200,0.2,1000
29,29,0.38730110000000195,127.0,6043.0,200,0.2,1000
30,30,0.40005949999999757,127.0,6244.0,200,0.2,1000
31,31,0.4122858000000065,127.0,6445.0,200,0.2,1000
32,32,0.4264517999999953,127.0,6646.0,200,0.2,1000
33,33,0.4388057000000174,127.0,6847.0,200,0.2,1000
34,34,0.4536337000000117,131.0,7049.0,200,0.2,1000
35,35,0.46826290000001336,131.0,7250.0,200,0.2,1000
36,36,0.48164560000000733,133.0,7452.0,200,0.2,1000
37,37,0.4947990999999945,133.0,7653.0,200,0.2,1000
38,38,0.509880800000019,133.0,7854.0,200,0.2,1000
39,39,0.5254963000000146,135.0,8056.0,200,0.2,1000
40,40,0.5419318000000146,135.0,8257.0,200,0.2,1000
41,41,0.5563415999999961,135.0,8458.0,200,0.2,1000
42,42,0.5696435000000122,137.0,8660.0,200,0.2,1000
43,43,0.5821231000000182,137.0,8861.0,200,0.2,1000
44,44,0.5955969999999979,137.0,9062.0,200,0.2,1000
45,45,0.6113347000000147,137.0,9263.0,200,0.2,1000
46,46,0.6277901999999926,137.0,9464.0,200,0.2,1000
47,47,0.642065400000007,137.0,9665.0,200,0.2,1000
48,48,0.6545686000000046,137.0,9866.0,200,0.2,1000
49,49,0.6696632999999963,137.0,10067.0,200,0.2,1000
50,50,0.6827213999999913,137.0,10268.0,200,0.2,1000
51,51,0.695541100000014,137.0,10469.0,200,0.2,1000
52,52,0.7111675000000162,137.0,10670.0,200,0.2,1000
53,53,0.7262640000000147,137.0,10871.0,200,0.2,1000
54,54,0.7399465000000021,142.0,11073.0,200,0.2,1000
55,55,0.7538920000000076,142.0,11274.0,200,0.2,1000
56,56,0.7690087000000005,143.0,11476.0,200,0.2,1000
57,57,0.7842089000000101,143.0,11677.0,200,0.2,1000
58,58,0.8004874000000086,143.0,11878.0,200,0.2,1000
59,59,0.8156504000000098,143.0,12079.0,200,0.2,1000
60,60,0.8308509000000015,143.0,12280.0,200,0.2,1000
61,61,0.8453369000000066,143.0,12481.0,200,0.2,1000
62,62,0.8605502000000058,143.0,12682.0,200,0.2,1000
63,63,0.8745261999999911,143.0,12883.0,200,0.2,1000
64,64,0.8875433999999984,143.0,13084.0,200,0.2,1000
65,65,0.9012671000000125,143.0,13285.0,200,0.2,1000
66,66,0.9158553999999981,143.0,13486.0,200,0.2,1000
