,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,7.580000000007026e-05,3.0,0.0,0,1000,0
1,1,0.007786199999999965,3.0,1.0,0,1000,0
2,2,0.007815399999999917,3.0,2.0,0,1000,0
3,3,0.007837499999999942,3.0,3.0,0,1000,0
4,4,0.007857599999999909,3.0,4.0,0,1000,0
5,5,0.007878099999999888,3.0,5.0,0,1000,0
6,6,0.007913099999999895,3.0,6.0,0,1000,0
7,7,0.007933500000000038,3.0,7.0,0,1000,0
8,8,0.007954400000000028,3.0,8.0,0,1000,0
9,9,0.0079769999999999,3.0,9.0,0,1000,0
10,10,0.007999300000000042,3.0,10.0,0,1000,0
11,11,0.00802220000000009,3.0,11.0,0,1000,0
12,12,0.008046199999999892,3.0,12.0,0,1000,0
13,13,0.008069799999999905,3.0,13.0,0,1000,0
14,14,0.008094800000000069,3.0,14.0,0,1000,0
15,15,0.008136499999999991,3.0,15.0,0,1000,0
16,16,0.008160900000000026,3.0,16.0,0,1000,0
17,17,0.008206399999999947,3.0,17.0,0,1000,0
18,18,0.008232599999999923,3.0,18.0,0,1000,0
19,19,0.008259699999999981,3.0,19.0,0,1000,0
20,20,0.008287399999999945,3.0,20.0,0,1000,0
21,21,0.008315700000000037,3.0,21.0,0,1000,0
22,22,0.008344200000000024,3.0,22.0,0,1000,0
23,23,0.008373699999999928,3.0,23.0,0,1000,0
24,24,0.008403600000000067,3.0,24.0,0,1000,0
25,25,0.008433600000000041,3.0,25.0,0,1000,0
26,26,0.008472800000000058,5.0,27.0,0,1000,0
27,27,0.008515099999999887,5.0,28.0,0,1000,0
28,28,0.008550700000000022,5.0,29.0,0,1000,0
29,29,0.0086001,5.0,30.0,0,1000,0
30,30,0.00863309999999995,5.0,31.0,0,1000,0
31,31,0.008666899999999922,5.0,32.0,0,1000,0
32,32,0.008700699999999895,5.0,33.0,0,1000,0
33,33,0.008734999999999937,5.0,34.0,0,1000,0
34,34,0.008769699999999991,5.0,35.0,0,1000,0
35,35,0.008808900000000008,5.0,36.0,0,1000,0
36,36,0.008846300000000085,5.0,37.0,0,1000,0
37,37,0.008882999999999974,5.0,38.0,0,1000,0
38,38,0.008921100000000015,5.0,39.0,0,1000,0
39,39,0.008958599999999928,5.0,40.0,0,1000,0
40,40,0.008996500000000074,5.0,41.0,0,1000,0
41,41,0.009035600000000032,5.0,42.0,0,1000,0
42,42,0.009075200000000061,5.0,43.0,0,1000,0
43,43,0.009114999999999984,5.0,44.0,0,1000,0
44,44,0.009175799999999956,5.0,45.0,0,1000,0
45,45,0.00921890000000003,5.0,46.0,0,1000,0
46,46,0.009262199999999998,5.0,47.0,0,1000,0
47,47,0.00931419999999994,5.0,48.0,0,1000,0
48,48,0.009375799999999934,5.0,49.0,0,1000,0
49,49,0.00941980000000009,5.0,50.0,0,1000,0
50,50,0.009463299999999952,5.0,51.0,0,1000,0
51,51,0.009509999999999907,5.0,52.0,0,1000,0
52,52,0.009576100000000087,5.0,53.0,0,1000,0
53,53,0.009622999999999937,5.0,54.0,0,1000,0
54,54,0.009670000000000067,5.0,55.0,0,1000,0
55,55,0.009720699999999916,5.0,56.0,0,1000,0
56,56,0.009785900000000014,5.0,57.0,0,1000,0
57,57,0.009835800000000061,5.0,58.0,0,1000,0
58,58,0.009887299999999932,5.0,59.0,0,1000,0
59,59,0.009937899999999944,5.0,60.0,0,1000,0
60,60,0.009986800000000073,5.0,61.0,0,1000,0
61,61,0.010037000000000074,5.0,62.0,0,1000,0
62,62,0.010107599999999994,5.0,63.0,0,1000,0
63,63,0.01015940000000004,5.0,64.0,0,1000,0
64,64,0.010228300000000079,5.0,65.0,0,1000,0
65,65,0.010280899999999926,5.0,66.0,0,1000,0
66,66,0.010332999999999926,5.0,67.0,0,1000,0
67,67,0.010385700000000053,5.0,68.0,0,1000,0
68,68,0.010438900000000029,5.0,69.0,0,1000,0
69,69,0.010492900000000027,5.0,70.0,0,1000,0
70,70,0.010548500000000072,5.0,71.0,0,1000,0
71,71,0.010623700000000014,5.0,72.0,0,1000,0
72,72,0.010681299999999894,5.0,73.0,0,1000,0
73,73,0.010750899999999897,5.0,74.0,0,1000,0
74,74,0.010811600000000032,5.0,75.0,0,1000,0
75,75,0.010887499999999939,5.0,76.0,0,1000,0
76,76,0.010945299999999936,5.0,77.0,0,1000,0
77,77,0.011023599999999911,5.0,78.0,0,1000,0
78,78,0.011083699999999919,5.0,79.0,0,1000,0
79,79,0.011144599999999949,5.0,80.0,0,1000,0
80,80,0.01122219999999996,5.0,81.0,0,1000,0
81,81,0.011303199999999958,5.0,82.0,0,1000,0
82,82,0.011366100000000046,5.0,83.0,0,1000,0
83,83,0.011428999999999911,5.0,84.0,0,1000,0
84,84,0.011507699999999899,5.0,85.0,0,1000,0
85,85,0.01159179999999993,5.0,86.0,0,1000,0
86,86,0.01165689999999997,5.0,87.0,0,1000,0
87,87,0.011736600000000097,5.0,88.0,0,1000,0
88,88,0.011816499999999897,5.0,89.0,0,1000,0
89,89,0.011909399999999959,5.0,90.0,0,1000,0
