,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0049566000000140775,0.0,200.0,True,200,0.25,1000
1,1,0.04802949999998418,29.24628863847572,402.0,True,200,0.25,1000
2,2,0.08730990000003658,30.202408557621645,604.0,True,200,0.25,1000
3,3,0.12620230000015908,30.743555832989543,806.0,True,200,0.25,1000
4,4,0.16591620000008334,31.591787167821938,1008.0,True,200,0.25,1000
5,5,0.20696010000006027,32.72723385136229,1210.0,True,200,0.25,1000
6,6,0.24726250000003347,33.96189212049456,1412.0,True,200,0.25,1000
7,7,0.28668080000011287,35.18658672463283,1614.0,True,200,0.25,1000
8,8,0.330397800000128,35.18658672463283,1815.0,True,200,0.25,1000
9,9,0.37129440000012437,35.66187247507017,2017.0,True,200,0.25,1000
10,10,0.41179090000014185,36.118606627313845,2219.0,True,200,0.25,1000
11,11,0.4645764000001691,36.54650127203094,2421.0,True,200,0.25,1000
12,12,0.5042520000001787,36.54650127203094,2622.0,True,200,0.25,1000
13,13,0.54469690000019,36.54650127203094,2823.0,True,200,0.25,1000
14,14,0.5871449000001121,36.54650127203094,3024.0,True,200,0.25,1000
15,15,0.6299238999999943,36.54650127203094,3225.0,True,200,0.25,1000
16,16,0.6719364000000496,36.58634546774434,3427.0,True,200,0.25,1000
17,17,0.7127119000001585,36.64921903564245,3629.0,True,200,0.25,1000
18,18,0.7531536999999844,36.69013327579472,3831.0,True,200,0.25,1000
19,19,0.7935577000000649,36.70789075292141,4033.0,True,200,0.25,1000
20,20,0.8394471999999951,36.70789075292141,4234.0,True,200,0.25,1000
21,21,0.8768357000001288,36.70789075292141,4435.0,True,200,0.25,1000
22,22,0.916230700000142,36.70789075292141,4636.0,True,200,0.25,1000
23,23,0.9670740000001388,36.70789075292141,4837.0,True,200,0.25,1000
24,24,1.0197714000000815,36.70789075292141,5038.0,True,200,0.25,1000
25,25,1.130734000000075,36.70789075292141,5239.0,True,200,0.25,1000
26,26,1.2130403000001024,36.70789075292141,5440.0,True,200,0.25,1000
27,27,1.2916459000000486,36.70789075292141,5641.0,True,200,0.25,1000
28,28,1.3755333999999948,36.70789075292141,5842.0,True,200,0.25,1000
29,29,1.459186900000077,36.70789075292141,6043.0,True,200,0.25,1000
30,30,1.539788900000076,36.70789075292141,6244.0,True,200,0.25,1000
31,31,1.6196696000001793,36.70789075292141,6445.0,True,200,0.25,1000
