,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,8.819999999998274e-05,0.0,0.0,0,1000,0
1,1,0.007936800000000188,0.0,1.0,0,1000,0
2,2,0.008009600000000061,0.0,2.0,0,1000,0
3,3,0.008078100000000088,0.0,3.0,0,1000,0
4,4,0.0081175,0.0,4.0,0,1000,0
5,5,0.008183800000000074,0.0,5.0,0,1000,0
6,6,0.008230000000000182,0.0,6.0,0,1000,0
7,7,0.008261700000000038,0.0,7.0,0,1000,0
8,8,0.008293500000000176,0.0,8.0,0,1000,0
9,9,0.008326600000000184,0.0,9.0,0,1000,0
10,10,0.008360300000000098,0.0,10.0,0,1000,0
11,11,0.008394800000000036,0.0,11.0,0,1000,0
12,12,0.008428800000000125,0.0,12.0,0,1000,0
13,13,0.008463600000000016,0.0,13.0,0,1000,0
14,14,0.008517300000000061,0.0,14.0,0,1000,0
15,15,0.008591600000000144,0.0,15.0,0,1000,0
16,16,0.008663100000000146,0.0,16.0,0,1000,0
17,17,0.008716800000000191,0.0,17.0,0,1000,0
18,18,0.008753300000000186,0.0,18.0,0,1000,0
19,19,0.008790400000000087,0.0,19.0,0,1000,0
20,20,0.008827600000000047,0.0,20.0,0,1000,0
21,21,0.008865500000000193,0.0,21.0,0,1000,0
22,22,0.008903300000000058,0.0,22.0,0,1000,0
23,23,0.008942100000000064,0.0,23.0,0,1000,0
24,24,0.00898600000000016,0.0,24.0,0,1000,0
25,25,0.009026100000000037,0.0,25.0,0,1000,0
26,26,0.009067200000000053,0.0,26.0,0,1000,0
27,27,0.00910820000000001,0.0,27.0,0,1000,0
28,28,0.009149300000000027,0.0,28.0,0,1000,0
29,29,0.009191000000000171,0.0,29.0,0,1000,0
30,30,0.009233700000000011,0.0,30.0,0,1000,0
31,31,0.009276400000000073,0.0,31.0,0,1000,0
32,32,0.009319599999999983,0.0,32.0,0,1000,0
33,33,0.009363100000000069,0.0,33.0,0,1000,0
34,34,0.009407400000000177,0.0,34.0,0,1000,0
35,35,0.009451800000000121,0.0,35.0,0,1000,0
36,36,0.009497199999999983,0.0,36.0,0,1000,0
37,37,0.00954300000000008,0.0,37.0,0,1000,0
38,38,0.009589300000000023,0.0,38.0,0,1000,0
39,39,0.009636500000000048,0.0,39.0,0,1000,0
40,40,0.009683800000000131,0.0,40.0,0,1000,0
41,41,0.009731900000000016,0.0,41.0,0,1000,0
42,42,0.009781100000000098,0.0,42.0,0,1000,0
43,43,0.009830100000000064,0.0,43.0,0,1000,0
44,44,0.0098796000000001,0.0,44.0,0,1000,0
45,45,0.0099298000000001,0.0,45.0,0,1000,0
46,46,0.009980700000000065,0.0,46.0,0,1000,0
47,47,0.010033500000000029,0.0,47.0,0,1000,0
48,48,0.01008600000000004,0.0,48.0,0,1000,0
49,49,0.01013850000000005,0.0,49.0,0,1000,0
50,50,0.010191300000000014,0.0,50.0,0,1000,0
51,51,0.010253200000000184,0.0,51.0,0,1000,0
52,52,0.010309500000000194,0.0,52.0,0,1000,0
53,53,0.010364200000000157,0.0,53.0,0,1000,0
54,54,0.010422500000000001,0.0,54.0,0,1000,0
55,55,0.010482300000000055,0.0,55.0,0,1000,0
56,56,0.010540400000000005,0.0,56.0,0,1000,0
57,57,0.010597500000000037,0.0,57.0,0,1000,0
58,58,0.01065510000000014,0.0,58.0,0,1000,0
59,59,0.010714400000000124,0.0,59.0,0,1000,0
60,60,0.010773000000000144,0.0,60.0,0,1000,0
61,61,0.01083220000000007,0.0,61.0,0,1000,0
62,62,0.010892100000000182,0.0,62.0,0,1000,0
63,63,0.010952400000000084,0.0,63.0,0,1000,0
64,64,0.011013099999999998,0.0,64.0,0,1000,0
65,65,0.011074800000000051,0.0,65.0,0,1000,0
66,66,0.011136299999999988,0.0,66.0,0,1000,0
67,67,0.011198400000000053,0.0,67.0,0,1000,0
68,68,0.01126090000000013,0.0,68.0,0,1000,0
69,69,0.011324700000000076,0.0,69.0,0,1000,0
70,70,0.011388400000000187,0.0,70.0,0,1000,0
71,71,0.011466300000000151,0.0,71.0,0,1000,0
72,72,0.011531400000000191,0.0,72.0,0,1000,0
73,73,0.01159980000000016,0.0,73.0,0,1000,0
74,74,0.011665900000000118,0.0,74.0,0,1000,0
75,75,0.011732400000000087,0.0,75.0,0,1000,0
76,76,0.011799800000000138,0.0,76.0,0,1000,0
77,77,0.011880500000000183,0.0,77.0,0,1000,0
78,78,0.011954200000000137,0.0,78.0,0,1000,0
79,79,0.012026700000000057,0.0,79.0,0,1000,0
80,80,0.012100300000000175,0.0,80.0,0,1000,0
81,81,0.01217109999999999,0.0,81.0,0,1000,0
82,82,0.012241300000000122,0.0,82.0,0,1000,0
83,83,0.012312400000000112,0.0,83.0,0,1000,0
84,84,0.012383699999999997,0.0,84.0,0,1000,0
85,85,0.012469500000000133,0.0,85.0,0,1000,0
86,86,0.012542300000000006,0.0,86.0,0,1000,0
87,87,0.012615500000000113,0.0,87.0,0,1000,0
88,88,0.012688500000000102,0.0,88.0,0,1000,0
89,89,0.012764600000000126,0.0,89.0,0,1000,0
90,90,0.012839299999999998,0.0,90.0,0,1000,0
91,91,0.01291410000000015,0.0,91.0,0,1000,0
92,92,0.012989899999999999,0.0,92.0,0,1000,0
93,93,0.01306610000000008,0.0,93.0,0,1000,0
94,94,0.013142500000000057,0.0,94.0,0,1000,0
95,95,0.013219500000000162,0.0,95.0,0,1000,0
96,96,0.013297300000000067,0.0,96.0,0,1000,0
97,97,0.013376000000000055,0.0,97.0,0,1000,0
98,98,0.013454599999999983,0.0,98.0,0,1000,0
99,99,0.013533100000000076,0.0,99.0,0,1000,0
100,100,0.013612700000000144,0.0,100.0,0,1000,0
