,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0036300999999987482,55.0,200.0,200,0.2,1000
1,1,0.020670599999998984,66.0,402.0,200,0.2,1000
2,2,0.033289299999999855,69.0,604.0,200,0.2,1000
3,3,0.04689469999999929,69.0,805.0,200,0.2,1000
4,4,0.059463899999999015,69.0,1006.0,200,0.2,1000
5,5,0.07142099999999907,73.0,1208.0,200,0.2,1000
6,6,0.08435899999999918,74.0,1410.0,200,0.2,1000
7,7,0.0964230999999991,74.0,1611.0,200,0.2,1000
8,8,0.10818369999999966,76.0,1813.0,200,0.2,1000
9,9,0.11942879999999967,79.0,2015.0,200,0.2,1000
10,10,0.13121739999999882,79.0,2216.0,200,0.2,1000
11,11,0.1435896999999997,79.0,2417.0,200,0.2,1000
12,12,0.15568719999999914,80.0,2619.0,200,0.2,1000
13,13,0.1674592999999991,81.0,2821.0,200,0.2,1000
14,14,0.18073499999999854,84.0,3023.0,200,0.2,1000
15,15,0.19291469999999933,84.0,3224.0,200,0.2,1000
16,16,0.20488909999999905,84.0,3425.0,200,0.2,1000
17,17,0.2163434999999989,87.0,3627.0,200,0.2,1000
18,18,0.22771479999999933,88.0,3829.0,200,0.2,1000
19,19,0.24013419999999996,90.0,4031.0,200,0.2,1000
20,20,0.2529634999999999,90.0,4232.0,200,0.2,1000
21,21,0.26541769999999865,90.0,4433.0,200,0.2,1000
22,22,0.27738389999999846,95.0,4635.0,200,0.2,1000
23,23,0.2915417999999992,95.0,4836.0,200,0.2,1000
24,24,0.3035205999999988,95.0,5037.0,200,0.2,1000
25,25,0.32188769999999955,95.0,5238.0,200,0.2,1000
26,26,0.33787719999999943,95.0,5439.0,200,0.2,1000
27,27,0.3539732999999998,95.0,5640.0,200,0.2,1000
28,28,0.37185379999999846,96.0,5842.0,200,0.2,1000
29,29,0.3898273999999997,97.0,6044.0,200,0.2,1000
30,30,0.4043291999999994,99.0,6246.0,200,0.2,1000
31,31,0.4183021,99.0,6447.0,200,0.2,1000
32,32,0.43184609999999957,99.0,6648.0,200,0.2,1000
33,33,0.453957299999999,100.0,6850.0,200,0.2,1000
34,34,0.4674303999999996,100.0,7051.0,200,0.2,1000
35,35,0.48183109999999907,100.0,7252.0,200,0.2,1000
36,36,0.4965232999999998,100.0,7453.0,200,0.2,1000
37,37,0.5139288999999998,100.0,7654.0,200,0.2,1000
38,38,0.5301141999999999,100.0,7855.0,200,0.2,1000
39,39,0.5459666999999992,100.0,8056.0,200,0.2,1000
40,40,0.5632165999999987,100.0,8257.0,200,0.2,1000
41,41,0.580620699999999,100.0,8458.0,200,0.2,1000
42,42,0.5963131999999991,100.0,8659.0,200,0.2,1000
43,43,0.6101542999999996,100.0,8860.0,200,0.2,1000
44,44,0.624941699999999,100.0,9061.0,200,0.2,1000
45,45,0.6397544999999987,100.0,9262.0,200,0.2,1000
46,46,0.6561829999999986,100.0,9463.0,200,0.2,1000
47,47,0.6733762999999993,100.0,9664.0,200,0.2,1000
48,48,0.6895817999999991,100.0,9865.0,200,0.2,1000
49,49,0.7056568999999993,100.0,10066.0,200,0.2,1000
50,50,0.7210728999999994,100.0,10267.0,200,0.2,1000
51,51,0.736336399999999,100.0,10468.0,200,0.2,1000
52,52,0.7528890999999991,100.0,10669.0,200,0.2,1000
53,53,0.7696293999999995,100.0,10870.0,200,0.2,1000
54,54,0.7920761999999986,100.0,11071.0,200,0.2,1000
55,55,0.8085255999999994,100.0,11272.0,200,0.2,1000
56,56,0.8215106999999993,100.0,11473.0,200,0.2,1000
57,57,0.8370417999999997,100.0,11674.0,200,0.2,1000
58,58,0.8657380999999997,100.0,11875.0,200,0.2,1000
59,59,0.8915362999999985,100.0,12076.0,200,0.2,1000
60,60,0.9266161999999998,100.0,12277.0,200,0.2,1000
61,61,0.9523170999999984,100.0,12478.0,200,0.2,1000
62,62,0.9866022000000001,100.0,12679.0,200,0.2,1000
63,63,1.0099813999999991,100.0,12880.0,200,0.2,1000
64,64,1.0277357999999985,100.0,13081.0,200,0.2,1000
65,65,1.0440097999999995,100.0,13282.0,200,0.2,1000
66,66,1.0585474999999995,100.0,13483.0,200,0.2,1000
67,67,1.0767298999999984,100.0,13684.0,200,0.2,1000
68,68,1.0955534,100.0,13885.0,200,0.2,1000
69,69,1.1153616,100.0,14086.0,200,0.2,1000
70,70,1.131534799999999,100.0,14287.0,200,0.2,1000
71,71,1.1476317999999992,100.0,14488.0,200,0.2,1000
72,72,1.1817892999999984,100.0,14689.0,200,0.2,1000
73,73,1.2178892000000001,100.0,14890.0,200,0.2,1000
74,74,1.2457344,100.0,15091.0,200,0.2,1000
75,75,1.2693003999999988,100.0,15292.0,200,0.2,1000
76,76,1.3031904999999995,100.0,15493.0,200,0.2,1000
77,77,1.339585399999999,100.0,15694.0,200,0.2,1000
78,78,1.3597698999999999,100.0,15895.0,200,0.2,1000
79,79,1.3784364,100.0,16096.0,200,0.2,1000
80,80,1.402393,100.0,16297.0,200,0.2,1000
81,81,1.4233212999999996,100.0,16498.0,200,0.2,1000
82,82,1.4426745999999984,100.0,16699.0,200,0.2,1000
83,83,1.4793431999999989,100.0,16900.0,200,0.2,1000
84,84,1.5143231999999998,100.0,17101.0,200,0.2,1000
85,85,1.5377108999999987,100.0,17302.0,200,0.2,1000
86,86,1.5860062999999993,100.0,17503.0,200,0.2,1000
87,87,1.6201142999999991,100.0,17704.0,200,0.2,1000
88,88,1.649308399999999,100.0,17905.0,200,0.2,1000
89,89,1.6715427999999992,100.0,18106.0,200,0.2,1000
90,90,1.6951503999999993,100.0,18307.0,200,0.2,1000
91,91,1.7093939999999996,100.0,18508.0,200,0.2,1000
92,92,1.7235658999999988,100.0,18709.0,200,0.2,1000
93,93,1.7417678999999993,100.0,18910.0,200,0.2,1000
94,94,1.759395099999999,100.0,19111.0,200,0.2,1000
95,95,1.7837305999999984,100.0,19312.0,200,0.2,1000
96,96,1.8092587999999985,100.0,19513.0,200,0.2,1000
97,97,1.8240280999999996,100.0,19714.0,200,0.2,1000
98,98,1.8410301999999987,100.0,19915.0,200,0.2,1000
99,99,1.8597994999999994,100.0,20116.0,200,0.2,1000
100,100,1.8798576999999987,100.0,20317.0,200,0.2,1000
101,101,1.8966616999999992,100.0,20518.0,200,0.2,1000
102,102,1.9109793999999987,100.0,20719.0,200,0.2,1000
103,103,1.927681699999999,100.0,20920.0,200,0.2,1000
104,104,1.941405099999999,100.0,21121.0,200,0.2,1000
105,105,1.9533540999999985,100.0,21322.0,200,0.2,1000
106,106,1.9656189999999985,100.0,21523.0,200,0.2,1000
107,107,1.9906050999999998,100.0,21724.0,200,0.2,1000
108,108,2.012063699999999,100.0,21925.0,200,0.2,1000
109,109,2.0251757999999995,100.0,22126.0,200,0.2,1000
110,110,2.0366593999999996,100.0,22327.0,200,0.2,1000
111,111,2.0482718999999996,100.0,22528.0,200,0.2,1000
112,112,2.0615381,100.0,22729.0,200,0.2,1000
113,113,2.0735737999999984,100.0,22930.0,200,0.2,1000
114,114,2.0851308,100.0,23131.0,200,0.2,1000
115,115,2.096406,100.0,23332.0,200,0.2,1000
116,116,2.1081690999999996,100.0,23533.0,200,0.2,1000
117,117,2.1204175999999997,100.0,23734.0,200,0.2,1000
118,118,2.1319459999999992,100.0,23935.0,200,0.2,1000
119,119,2.1438084999999987,100.0,24136.0,200,0.2,1000
120,120,2.1551741,100.0,24337.0,200,0.2,1000
121,121,2.1670982,100.0,24538.0,200,0.2,1000
122,122,2.1795416999999997,100.0,24739.0,200,0.2,1000
123,123,2.1928180999999984,100.0,24940.0,200,0.2,1000
124,124,2.2057228999999996,100.0,25141.0,200,0.2,1000
125,125,2.2195766,100.0,25342.0,200,0.2,1000
126,126,2.2428475,100.0,25543.0,200,0.2,1000
127,127,2.2551261,100.0,25744.0,200,0.2,1000
128,128,2.2676292,100.0,25945.0,200,0.2,1000
129,129,2.2792806,100.0,26146.0,200,0.2,1000
130,130,2.2911927,100.0,26347.0,200,0.2,1000
131,131,2.3031866999999995,100.0,26548.0,200,0.2,1000
132,132,2.3164736999999995,100.0,26749.0,200,0.2,1000
133,133,2.3280776999999997,100.0,26950.0,200,0.2,1000
